Date,High,Low,Open,Close,Volume,Adj Close
2015-03-10,219650,216900,219650,217400,800,217400
2015-03-11,218865,216785,217745,217500,400,217500
2015-03-12,219898,217721,218999,219898,300,219898
2015-03-13,219500,216435,219500,217118,200,217118
2015-03-16,219900,218350,218350,219502,200,219502
2015-03-17,219374,217240,219374,218600,200,218600
2015-03-18,220546,217195,218374,219699,300,219699
2015-03-19,219698,217705,219698,218000,200,218000
2015-03-20,219560,218300,219200,218300,200,218300
2015-03-23,219999,218279,219150,218646,200,218646
2015-03-24,218260,216999,218175,217005,300,217005
2015-03-25,218058,216386,217700,217000,600,217000
2015-03-26,216760,215464,215939,216240,500,216240
2015-03-27,217380,215759,216850,217000,500,217000
2015-03-30,220000,218000,218000,219700,300,219700
2015-03-31,219400,217500,219400,217500,200,217500
2015-04-01,217980,216138,217900,216300,200,216300
2015-04-02,216853,215700,216154,216500,200,216500
2015-04-06,217401,215273,215440,216275,100,216275
2015-04-07,216981,215460,216400,215500,200,215500
2015-04-08,216612,214780,216000,214828,500,214828
2015-04-09,215640,214500,214828,215523,400,215523
2015-04-10,215850,214655,215100,215211,200,215211
2015-04-13,216160,215321,215720,215950,200,215950
2015-04-14,215400,213620,215100,214420,300,214420
2015-04-15,215496,214260,214260,214675,300,214675
2015-04-16,215066,213500,214180,214350,200,214350
2015-04-17,213345,211960,212990,212982,500,212982
2015-04-20,214872,213590,214000,214100,300,214100
2015-04-21,214860,213112,214760,213440,200,213440
2015-04-22,214900,213360,213900,214789,200,214789
2015-04-23,215575,214000,214100,214740,300,214740
2015-04-24,214900,214022,214615,214490,200,214490
2015-04-27,214720,212432,214575,212585,500,212585
2015-04-28,215150,212195,212500,215150,400,215150
2015-04-29,215000,213500,214200,214400,200,214400
2015-04-30,214706,212806,214000,213400,300,213400
2015-05-01,215930,213650,214666,215800,300,215800
2015-05-04,220100,217333,217800,219290,500,219290
2015-05-05,220250,218000,219200,218000,300,218000
2015-05-06,219105,215820,219000,216620,200,216620
2015-05-07,219000,216295,216620,218720,200,218720
2015-05-08,222880,220140,220300,222880,400,222880
2015-05-11,223011,219550,223000,219550,100,219550
2015-05-12,218979,216950,218979,217800,100,217800
2015-05-13,217871,216800,217290,217200,200,217200
